N	mean	var	loss	bw	B	MaxB	Silence	Bp	out
70	0.493738	0.001613	0.523810	0.700000	0	1	0.000000	10.000000	1
90	1.817684	0.153797	0.060049	1.735714	125	251	2.500000	30.000000	1
80	1.712805	0.050975	0.444996	0.933333	31	126	1.250000	20.000000	1
100	1.930008	0.169525	0.000000	3.210526	282	376	3.750000	40.000000	2
75	2.686670	0.112334	0.547114	1.243990	7	63	0.625000	25.000000	1
95	2.449389	0.139442	0.000000	3.060511	195	313	3.125000	45.000000	2
85	1.044177	0.070524	0.272738	0.755299	70	188	1.875000	15.000000	1
105	1.593714	0.078079	0.000000	3.301090	383	438	4.375000	35.000000	2
72	0.876531	0.147258	0.489903	0.443504	18	32	3.437500	22.500000	1
92	4.804854	0.243444	0.354729	3.082278	17	282	0.937500	42.500000	1
82	0.424278	0.036249	0.016164	0.444214	127	157	4.687500	12.500000	0
102	2.561162	0.227679	0.000000	2.888438	127	407	2.187500	32.500000	0
77	0.865978	0.092103	0.328361	0.539828	64	94	2.812500	17.500000	1
97	6.481739	0.095117	0.481507	3.366853	64	344	0.312500	37.500000	1
87	1.141912	0.146759	0.006425	1.312552	205	219	4.062500	27.500000	0
107	4.551279	0.228691	0.003479	4.888807	205	469	1.562500	47.500000	0
96	2.168718	0.151168	0.115013	1.893054	303	360	2.031250	28.750000	1
76	1.558996	0.215512	0.502068	0.764680	37	110	4.531250	48.750000	1
106	2.648043	0.073319	0.321085	1.796813	287	485	0.781250	18.750000	1
86	1.832549	0.190700	0.183536	1.496736	22	235	3.281250	38.750000	1
91	1.239772	0.070876	0.195714	0.999883	287	297	1.406250	13.750000	1
71	1.134392	0.108074	0.303642	0.786508	22	47	3.906250	33.750000	1
101	4.893565	0.031537	0.515172	2.368360	303	422	0.156250	23.750000	1
81	2.307763	0.174420	0.114146	2.015129	37	172	2.656250	43.750000	1
98	0.750496	0.073910	0.000000	1.069514	92	329	4.218750	16.250000	2
78	2.415048	0.113890	0.513708	1.207578	61	79	1.718750	36.250000	1
108	1.699721	0.077473	0.000000	2.503645	14	454	2.968750	26.250000	2
88	6.583860	0.139770	0.505088	3.217573	108	204	0.468750	46.250000	1
93	0.811985	0.115718	0.000000	1.515543	108	266	4.843750	21.250000	2
73	2.208875	0.160085	0.343897	1.362274	14	16	2.343750	41.250000	1
103	0.612579	0.048514	0.000000	1.130422	61	391	3.593750	11.250000	2
83	3.001984	0.167950	0.346418	1.873936	92	141	1.093750	31.250000	1
104	1.302289	0.098686	0.000000	1.821285	192	196	2.890625	20.625000	2
84	5.764682	0.138766	0.526149	2.738507	216	446	0.390625	40.625000	1
94	0.447716	0.058410	0.003781	0.634227	52	71	4.140625	10.625000	2
74	2.089457	0.121060	0.545201	0.924226	75	321	1.640625	30.625000	1
109	0.942782	0.035955	0.000000	1.599534	114	133	3.515625	15.625000	2
89	3.701219	0.100710	0.385552	2.247011	137	383	1.015625	35.625000	1
99	1.032270	0.097108	0.000000	1.848838	4	8	4.765625	25.625000	2
79	2.528625	0.152358	0.420318	1.533530	28	258	2.265625	45.625000	1
101	1.850171	0.029436	0.331106	1.248664	95	227	0.703125	13.125000	1
81	1.486278	0.101532	0.041048	1.373200	439	477	3.203125	33.125000	1
91	1.648785	0.103193	0.095228	1.560710	17	102	1.953125	23.125000	1
71	1.378115	0.216920	0.289706	0.834970	236	352	4.453125	43.125000	1
106	6.493846	0.019765	0.541995	2.977874	48	165	0.078125	28.125000	1
86	2.784205	0.242564	0.050705	2.601121	330	415	2.578125	48.125000	1
96	1.712630	0.073212	0.158935	1.476336	1	40	1.328125	18.125000	1
76	1.421656	0.146065	0.277915	1.138576	158	290	3.828125	38.125000	1
88	0.653839	0.096966	0.073158	0.664329	60	430	4.921875	19.375000	1
108	2.866699	0.206232	0.000000	3.547087	115	180	2.421875	39.375000	0
78	1.172193	0.076689	0.553641	0.518573	119	305	3.671875	29.375000	1
98	5.327068	0.126420	0.330444	3.574126	48	55	1.171875	49.375000	1
83	0.929422	0.105150	0.000000	1.023032	7	493	4.296875	24.375000	0
103	3.865932	0.141078	0.003255	4.249452	125	243	1.796875	44.375000	0
73	0.612103	0.053637	0.399185	0.370409	97	368	3.046875	14.375000	1
93	4.887925	0.136697	0.427622	2.790706	90	118	0.546875	34.375000	1
85	2.230282	0.142861	0.356070	1.367347	280	399	1.484375	26.875000	1
105	2.282621	0.231215	0.000000	4.245648	30	149	3.984375	46.875000	2
75	2.410110	0.033396	0.569094	1.044091	261	274	0.234375	16.875000	1
95	2.251137	0.117304	0.027109	2.420995	10	24	2.734375	36.875000	1
80	0.720792	0.049905	0.153440	0.597554	266	461	2.109375	11.875000	1
100	1.334499	0.129126	0.000000	3.064722	16	211	4.609375	31.875000	2
70	1.946753	0.069399	0.495140	0.967285	278	336	0.859375	21.875000	1
90	2.014257	0.118477	0.000000	2.906556	28	86	3.359375	41.875000	2
80	1.049617	0.109436	0.000000	1.958145	48	98	4.023438	25.937500	2
100	4.271159	0.142669	0.308848	3.012093	345	348	1.523438	45.937500	1
70	0.752727	0.099237	0.000000	0.852977	54	223	2.773438	15.937500	0
90	6.016727	0.088355	0.552319	2.664670	351	473	0.273438	35.937500	1
85	0.407609	0.039300	0.000000	0.780255	13	36	4.648438	10.937500	2
105	2.471999	0.174955	0.317795	1.707155	248	286	2.148438	30.937500	1
75	0.869187	0.070389	0.010996	1.030016	18	161	3.398438	20.937500	0
95	4.847016	0.160639	0.562925	2.149212	253	411	0.898438	40.937500	1
83	1.061448	0.083889	0.000000	1.521811	62	67	2.460938	18.437500	2
103	1.517310	0.112011	0.000000	2.285874	136	317	4.960938	38.437500	2
73	2.249733	0.085623	0.188319	1.782805	130	192	1.210938	28.437500	1
93	2.227098	0.188475	0.200611	1.815614	79	442	3.710938	48.437500	1
88	1.675732	0.105876	0.056340	1.885165	3	4	1.835938	23.437500	1
108	2.260261	0.229186	0.012863	2.278925	77	254	4.335938	43.437500	0
78	1.570026	0.034392	0.425350	0.899885	71	129	0.585938	13.437500	1
98	2.044362	0.126959	0.412818	1.092014	20	379	3.085938	33.437500	1
107	0.867432	0.079540	0.048614	0.849025	175	270	3.242188	14.687500	1
87	4.084438	0.083508	0.294829	2.887242	2	20	0.742188	34.687500	1
97	1.007379	0.077122	0.321532	0.726757	354	395	4.492188	24.687500	1
77	2.644659	0.099941	0.042540	2.635521	57	145	1.992188	44.687500	1
102	2.007188	0.135318	0.279801	1.436244	174	333	2.617188	29.687500	1
82	8.573001	0.066182	0.536510	3.977546	1	83	0.117188	49.687500	1
92	0.934736	0.121678	0.532277	0.405864	354	458	3.867188	19.687500	1
72	2.708704	0.182223	0.272317	2.070995	56	208	1.367188	39.687500	1
109	3.996629	0.078821	0.491066	2.026618	63	301	0.429688	22.187500	1
89	2.250962	0.161530	0.000000	3.645343	36	51	2.929688	42.187500	2
99	1.099625	0.057523	0.436879	0.609794	196	426	1.679688	12.187500	1
79	1.234433	0.115974	0.000000	1.949687	169	176	4.179688	32.187500	2
104	2.087627	0.086493	0.422758	1.178197	31	364	1.054688	17.187500	1
84	1.648885	0.120687	0.000000	2.723779	66	114	3.554688	37.187500	2
94	1.834654	0.115550	0.504063	0.926499	164	489	2.304688	27.187500	1
74	1.499313	0.183988	0.000000	2.295104	199	239	4.804688	47.187500	2
94	1.250350	0.050400	0.471803	0.643775	85	168	1.757813	15.312500	1
74	1.149432	0.151454	0.000000	1.836110	3	418	4.257813	35.312500	2
104	4.163498	0.074165	0.495268	2.085306	32	43	0.507813	25.312500	1
84	2.223012	0.196817	0.000000	3.471499	75	293	3.007813	45.312500	2
99	1.346506	0.066848	0.571456	0.605524	146	231	2.382813	20.312500	1
79	1.337708	0.160734	0.000000	1.883672	63	481	4.882813	40.312500	2
109	1.298955	0.048290	0.455745	0.680955	93	106	1.132813	10.312500	1
89	1.379469	0.131892	0.000000	2.185468	136	356	3.632813	30.312500	2
91	1.048865	0.130986	0.193838	0.859943	9	137	4.570313	27.812500	1
71	2.532084	0.170654	0.012226	2.697246	220	387	2.070313	47.812500	0
101	0.977450	0.062145	0.044061	1.032128	3	12	3.320313	17.812500	1
81	3.908896	0.119116	0.248808	2.987331	214	262	0.820313	37.812500	1
96	0.570091	0.061487	0.449241	0.317717	39	200	3.945313	12.812500	1
76	2.376370	0.122191	0.246766	1.860416	312	450	1.445313	32.812500	1
106	1.522599	0.100507	0.200457	1.219327	33	75	2.695313	22.812500	1
86	7.272542	0.061723	0.508702	3.573773	307	325	0.195313	42.812500	1
77	2.276630	0.115541	0.300102	1.545288	163	465	0.976563	24.062500	1
97	2.318867	0.209744	0.326953	1.499337	183	215	3.476563	44.062500	1
87	0.888714	0.041566	0.000000	1.150884	34	340	2.226563	14.062500	2
107	1.506507	0.113453	0.009850	1.882050	54	90	4.726563	34.062500	0
72	2.421064	0.058988	0.498420	1.207941	192	403	0.351563	19.062500	1
92	2.117482	0.180402	0.503212	1.036996	149	153	2.851563	39.062500	1
82	2.069028	0.074436	0.045642	2.073661	62	278	1.601563	29.062500	1
102	2.340124	0.209204	0.115665	2.143971	20	28	4.101563	49.062500	1
75	0.590170	0.037706	0.000000	0.697067	392	497	2.539063	11.562500	2
95	6.779330	0.011526	0.570190	2.911253	71	247	0.039063	31.562500	1
85	0.994194	0.081650	0.000000	1.798826	200	372	3.789063	21.562500	2
105	4.478160	0.219256	0.307775	3.077674	4	122	1.289063	41.562500	1
70	1.038963	0.083222	0.000000	1.296444	396	434	3.164063	26.562500	2
90	5.966193	0.203824	0.546419	2.688154	76	184	0.664063	46.562500	1
80	0.549637	0.089908	0.000000	1.164648	205	309	4.414063	16.562500	2
100	2.919740	0.153850	0.292348	2.098990	9	59	1.914063	36.562500	1
75	0.771953	0.087334	0.000000	1.740468	244	331	4.707031	23.281250	2
95	3.146769	0.171583	0.151747	2.685854	19	81	2.207031	43.281250	1
85	0.618896	0.038382	0.000000	0.906581	450	456	3.457031	13.281250	2
105	4.243260	0.161956	0.486121	2.206179	100	206	0.957031	33.281250	1
70	0.581672	0.062384	0.000000	1.147187	164	268	4.082031	18.281250	2
90	3.063021	0.119027	0.339779	2.117710	2	18	1.582031	38.281250	1
80	1.442211	0.102996	0.013035	1.628938	339	393	2.832031	28.281250	0
100	8.506223	0.126724	0.558149	3.770369	51	143	0.332031	48.281250	1
77	0.895206	0.030469	0.083355	0.799319	63	362	1.269531	10.781250	1
97	1.466676	0.090055	0.024715	1.649193	75	112	3.769531	30.781250	1
87	4.169238	0.004327	0.567022	1.797010	207	487	0.019531	20.781250	1
107	2.816290	0.172315	0.387257	1.813327	219	237	2.519531	40.781250	1
72	1.438952	0.076877	0.009249	1.623700	15	299	1.894531	25.781250	0
92	1.704433	0.182651	0.054931	1.839586	26	49	4.394531	45.781250	1
82	1.850847	0.051334	0.426802	1.070193	127	424	0.644531	15.781250	1
102	2.029122	0.118657	0.516344	1.042854	139	174	3.144531	35.781250	1
91	0.922579	0.109755	0.047660	0.928397	13	34	2.988281	17.031250	1
71	4.124770	0.076986	0.364526	2.598893	254	284	0.488281	37.031250	1
101	1.284541	0.119835	0.209939	0.995775	22	159	4.238281	27.031250	1
81	3.330382	0.235450	0.041453	3.119933	263	409	1.738281	47.031250	1
96	1.070823	0.055843	0.056467	1.021424	25	96	3.613281	22.031250	1
76	3.490634	0.125326	0.170345	2.924863	266	346	1.113281	42.031250	1
106	0.533394	0.055482	0.405298	0.312545	4	221	4.863281	12.031250	1
86	1.932916	0.124147	0.022314	1.960773	244	471	2.363281	32.031250	1
94	3.695579	0.132631	0.451933	2.038179	1	2	0.800781	29.531250	1
74	2.037394	0.209208	0.000000	3.390599	115	252	3.300781	49.531250	2
104	1.582434	0.067875	0.440190	0.873829	89	127	2.050781	19.531250	1
84	1.372876	0.156524	0.000000	2.374166	78	377	4.550781	39.531250	2
99	2.882742	0.017334	0.556966	1.283171	54	65	0.175781	14.531250	1
79	1.671019	0.197444	0.000000	2.285813	104	315	2.675781	34.531250	2
109	2.675591	0.139240	0.561881	1.145261	110	190	1.425781	24.531250	1
89	1.911634	0.185257	0.000000	2.470311	36	440	3.925781	44.531250	2
109	1.090350	0.067931	0.409033	0.646450	101	401	1.972656	12.656250	1
89	1.286847	0.087610	0.000000	2.191952	113	151	4.472656	32.656250	2
99	3.129122	0.055462	0.437486	1.724723	1	276	0.722656	22.656250	1
79	1.810741	0.140728	0.000000	3.239244	13	26	3.222656	42.656250	2
104	2.898559	0.082815	0.538096	1.347700	175	463	1.347656	27.656250	1
84	1.966104	0.186776	0.000438	2.650273	187	213	3.847656	47.656250	2
94	3.564154	0.017441	0.558969	1.559902	43	338	0.097656	17.656250	1
74	1.808159	0.128479	0.001627	2.432888	55	88	2.597656	37.656250	2
107	0.999759	0.103699	0.354951	0.655678	352	432	4.160156	20.156250	1
87	3.088489	0.173342	0.123596	2.701535	57	182	1.660156	40.156250	1
97	0.626441	0.035134	0.110486	0.535493	173	307	2.910156	10.156250	1
77	3.854727	0.090287	0.427107	2.245523	3	57	0.410156	30.156250	1
102	0.622455	0.052056	0.575336	0.282210	465	495	4.785156	15.156250	1
82	2.098481	0.167080	0.109052	1.903669	108	245	2.285156	35.156250	1
92	1.269501	0.149755	0.173168	0.982474	255	370	3.535156	25.156250	1
72	3.702171	0.177242	0.241015	2.857203	22	120	1.035156	45.156250	1
83	4.157432	0.034399	0.496988	2.072099	136	229	0.253906	26.406250	1
103	2.932399	0.161454	0.313233	2.081448	46	479	2.753906	46.406250	1
73	1.124390	0.068649	0.011406	1.183607	88	104	1.503906	16.406250	0
93	1.670543	0.075882	0.000000	1.978291	123	354	4.003906	36.406250	2
88	1.273286	0.032168	0.356894	0.818506	120	167	0.878906	11.406250	1
108	1.863581	0.115570	0.426065	1.050635	92	417	3.378906	31.406250	1
78	1.232403	0.033128	0.000000	1.505492	40	42	2.128906	21.406250	0
98	1.720701	0.090275	0.014685	1.907061	138	292	4.628906	41.406250	0
81	0.760999	0.058893	0.000000	1.131316	6	198	3.691406	18.906250	2
101	4.375412	0.184585	0.490606	2.152000	239	448	1.191406	38.906250	1
71	0.862820	0.104934	0.000000	1.912324	20	73	4.941406	28.906250	2
91	2.982282	0.264134	0.152317	2.612847	253	323	2.441406	48.906250	1
86	1.140884	0.090064	0.012144	1.347381	21	135	3.066406	23.906250	0
106	6.944269	0.165003	0.566142	3.043484	254	385	0.566406	43.906250	1
76	0.453531	0.054884	0.000000	0.879226	4	10	4.316406	13.906250	2
96	2.721739	0.199857	0.350425	1.770749	236	260	1.816406	33.906250	1
